Date,Log Stock Price,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
1/31/2010,6.979024225,14.62929182,6.82571489,0.11,-33.73595181
2/28/2010,7.007138969,14.63415527,6.832179808,0.126428571,-33.73095884
3/31/2010,7.06427173,14.64762954,6.837906899,0.164516129,-34.85954965
4/30/2010,7.078923198,14.66083662,6.840604282,0.198333333,-34.96858104
5/31/2010,6.993391544,14.66429282,6.843189291,0.200645161,-31.49225924
6/30/2010,6.938003164,14.66458475,6.8473284,0.176666667,-29.35671585
7/31/2010,7.004518947,14.66248915,6.850935955,0.182580645,-29.44081664
8/31/2010,6.955907144,14.65585814,6.852335059,0.189354839,-30.58921641
9/30/2010,7.039835619,14.64926619,6.857861426,0.194666667,-30.74298356
10/31/2010,7.07602862,14.65043895,6.867317586,0.191290323,-30.00763693
11/30/2010,7.073735711,14.65641794,6.878213434,0.194333333,-34.41248235
12/31/2010,7.136992228,14.68792957,6.886930133,0.183225806,-28.98190976
1/31/2011,7.159385213,14.70882801,6.886442262,0.168387097,-26.77610032
2/28/2011,7.190841808,14.73299947,6.894758688,0.156785714,-25.6192661
3/31/2011,7.189793957,14.76555362,6.908449838,0.138709677,-25.6172224
4/30/2011,7.217890874,14.79860453,6.91707769,0.098,-26.37585959
5/31/2011,7.20429798,14.82677141,6.92428245,0.093870968,-25.22653204
6/30/2011,7.185871747,14.85572592,6.931009394,0.092,-26.18189636
7/31/2011,7.164163379,14.87008858,6.936896761,0.070967742,-25.07054487
8/31/2011,7.105695888,14.86709168,6.940261578,0.095806452,-25.02585152
9/30/2011,7.03122876,14.86553361,6.945761312,0.084,-25.02232937
10/31/2011,7.133535352,14.86445963,6.949021255,0.070645161,-23.10523226
11/30/2011,7.128463868,14.85434531,6.9615146,0.081,-21.18963617
12/31/2011,7.136960422,14.87723053,6.972049161,0.071612903,-20.25058505
1/31/2012,7.179620421,14.88502062,6.975124867,0.081935484,-18.48627933
2/29/2012,7.219407752,14.89048909,6.984898711,0.103793103,-18.48939653
3/31/2012,7.250259288,14.87582284,6.998661457,0.126774194,-17.63805895
4/30/2012,7.242733543,14.86936159,7.003045231,0.139333333,-17.64124235
5/31/2012,7.178034293,14.86504205,7.006395001,0.155806452,-17.67046112
6/30/2012,7.216826954,14.86768459,7.010803849,0.161666667,-17.67261482
7/31/2012,7.229345903,14.86586888,7.015493142,0.156451613,-17.69107676
